Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "fmnist", "model": "mnist_nn_brenden", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedgra", "round": 1, "client_selection_round": 1, "number": 2, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedgra", "optimizer": "SGD", "lr": 0.1, "momentum": 0.0, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 3, "batch_size": 64}

accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0.1839,2.295633696746826,0.03689817394693201,0.1839,0.06138098861433703,0.1256781759189713,10000
0.1908,2.285853992843628,0.03997662686293779,0.1908,0.06558896103039953,0.1391328966528313,10000
0.1908,2.279401922607422,0.03821347936782438,0.1908,0.06366732999077276,0.13540973926366,10000
0.1991,2.2729275581359865,0.19292459760902958,0.1991,0.06892599503321273,0.14746494219571807,10000
0.1956,2.2840757537841796,0.1572896705249988,0.1956,0.08360700640523622,0.173348520938721,10000
0.1537,2.288642992782593,0.03728650167659638,0.1537,0.056337335319986616,0.09671758594201937,10000
0.1735,2.282977586746216,0.03919226044226044,0.1735,0.062201869440675406,0.12001040501828815,10000
0.1994,2.2652852027893067,0.11834379914634949,0.1994,0.06841455782772456,0.14805859664197232,10000
0.1937,2.264327108001709,0.039247120280086714,0.19369999999999998,0.0651650238598412,0.1404862416167338,10000
0.1019,2.3078318286895754,0.11350833388463807,0.10189999999999999,0.026079705719703927,0.0036493868416099537,10000
0.1439,2.2957833709716797,0.13684929576945146,0.1439,0.053496381026098105,0.08549976921121492,10000
0.1,2.327880290222168,0.01,0.1,0.01818181818181818,0.0,10000
0.1695,2.2879137313842772,0.13896063844704482,0.16949999999999998,0.062192506183831556,0.11159700416322967,10000
0.1291,2.3129501052856445,0.05882163468180063,0.1291,0.05552245780316427,0.09104723536992199,10000
0.1,2.3344551372528075,0.01,0.1,0.01818181818181818,0.0,10000
0.1129,2.2948160724639894,0.08145505472252183,0.1129,0.040331890168134134,0.07212412216092685,10000
0.1826,2.2677791603088377,0.037705938902967785,0.1826,0.062024568919200565,0.1265064543360663,10000
0.2447,2.217089446640015,0.08515804724275428,0.2447,0.11632877932990308,0.19822206569544817,10000
0.1931,2.249068507385254,0.0397616667950559,0.1931,0.06568363414356673,0.14076686104411307,10000
0.1426,2.304400009536743,0.13094785503689083,0.1426,0.057318844731556975,0.06605072271898525,10000
0.1064,2.3419417804718017,0.08446429648874361,0.10640000000000001,0.03324672771609542,0.04493461165766793,10000
0.1343,2.2793922466278076,0.0661519693818289,0.1343,0.06780611943864148,0.05057596196133676,10000
0.1992,2.25477699508667,0.08563033729964031,0.1992,0.09730644456336829,0.14026822754530274,10000
0.2117,2.219915096282959,0.12082377862575733,0.2117,0.10118670875963778,0.16601703658095018,10000
0.2222,2.2189542640686035,0.18991846123465222,0.2222,0.10769308469865332,0.1816670798382574,10000
0.1915,2.239125623321533,0.11192100301376673,0.1915,0.07421855002492786,0.14134063014639026,10000
0.2387,2.1979041442871092,0.19096782130172346,0.23869999999999997,0.12522541144724603,0.20136047148245012,10000
0.124,2.2685160175323484,0.1513538894726698,0.12399999999999997,0.06680060196034433,0.03488179687796048,10000
0.1814,2.260765189743042,0.23591206369688117,0.18139999999999998,0.08252022032341515,0.1259336111356382,10000
0.1834,2.2584762512207033,0.1407576046966818,0.1834,0.06633583930497275,0.13298166446305232,10000
0.2193,2.2076787910461424,0.1433356105561585,0.2193,0.10616875394409378,0.18048644934787084,10000
0.1492,2.2506304134368897,0.2178531908439955,0.1492,0.07049987443250985,0.07343483800676076,10000
0.1042,2.3235595542907714,0.18604823151125402,0.1042,0.02646540051128904,0.04526640593794895,10000
0.282,2.1778237426757814,0.21425986146564532,0.28200000000000003,0.1779037705004105,0.24673297949893427,10000
0.2234,2.2133741413116454,0.15006913474504083,0.2234,0.10179385343809526,0.17454545246773498,10000
0.2162,2.2220271114349366,0.24387051624843492,0.21619999999999995,0.10257929440450198,0.17778015151243787,10000
0.2544,2.175625556564331,0.10002947313682271,0.2544,0.13386223442443737,0.2051985803345762,10000
0.156,2.2463227184295653,0.2021504363443527,0.15600000000000003,0.09837251511365756,0.09374610148634337,10000
0.1346,2.2926355556488036,0.15226485044366664,0.1346,0.0764145869186671,0.08699374002763002,10000
0.2027,2.213625883483887,0.37352509372124554,0.20269999999999996,0.09651442360155563,0.16749928546686865,10000
0.118,2.2998391933441162,0.12234120334064769,0.118,0.040045740674299245,0.02688994170674705,10000
0.2577,2.177812237548828,0.19126186895614947,0.2577,0.13014129064817484,0.21924964430207178,10000
0.1981,2.2572031661987304,0.04207409951362152,0.1981,0.06882477485633734,0.15067241816293375,10000
0.266,2.180189297103882,0.11185512583144608,0.266,0.1401121866996476,0.2294108434901427,10000
0.1956,2.223568348693848,0.10275081833611917,0.1956,0.06652631289681488,0.1424337401988122,10000
0.2714,2.150806572341919,0.3220353120336063,0.2714,0.16507657237848514,0.2514136200940336,10000
0.2955,2.1252236740112305,0.32611858773661273,0.2955,0.17580250623499666,0.24829421747526498,10000
0.2449,2.1879150932312013,0.2961435699243541,0.24489999999999998,0.1819475931167691,0.22425205577721638,10000
0.1663,2.2528070320129396,0.22940545565763032,0.1663,0.11423209316059488,0.10451613785632559,10000
0.2383,2.172281145095825,0.23030686972877548,0.2383,0.14031786405073698,0.2002687759738489,10000
0.2773,2.151573796463013,0.20203971751912259,0.2773,0.15420241695566386,0.23164332487679312,10000
0.3216,2.117351402282715,0.451616633992867,0.3216,0.22525296022431623,0.2876320535991897,10000
0.2395,2.2145937473297117,0.1455343083377934,0.2395,0.13185343948528838,0.21072070002450258,10000
0.3119,2.1340662796020506,0.28297793816244055,0.31189999999999996,0.19315476573019555,0.27394919613077573,10000
0.361,2.080978824996948,0.2799446247627265,0.361,0.2725782185030436,0.3333313466901034,10000
0.3937,2.0707227237701415,0.4846060438981027,0.39369999999999994,0.3392117988041303,0.36406845819034345,10000
0.3579,2.1044038642883303,0.29145217750087893,0.3579,0.23240097046603464,0.33360286780768755,10000
0.3609,2.080535799026489,0.28011322957770435,0.3609000000000001,0.25260524506957166,0.3190345737331542,10000
0.3564,2.104982183456421,0.36034991295143415,0.3564,0.2850002763970147,0.3140390677414247,10000
0.3582,2.103726692199707,0.28400327248129564,0.35819999999999996,0.23712391355140783,0.3261590958167979,10000
0.3188,2.10109957447052,0.21446536521856938,0.3188,0.19700194539845206,0.27706534898142493,10000
0.42,2.072680376815796,0.3916183784155779,0.42000000000000004,0.3411995373478707,0.3908871888980333,10000
0.2448,2.190077777481079,0.2536110616992767,0.24480000000000005,0.1412493180602636,0.20310517752404678,10000
0.2782,2.157256854438782,0.2718225765033474,0.2782,0.20024478947107785,0.24129154226553096,10000
0.2427,2.180631894302368,0.27668035562960414,0.2427,0.12529405874549296,0.19492779034847849,10000
0.3139,2.1278568664550783,0.32852654249097213,0.3139,0.21224172671408134,0.27110751397455435,10000
0.3141,2.1407528285980226,0.28675900090613576,0.3141,0.19094102832535625,0.2723048254268722,10000
0.4885,2.003832159423828,0.46329548569259293,0.4885,0.38339014833630325,0.4619187075874141,10000
0.3693,2.0991522914886476,0.3099446285037496,0.3693000000000001,0.28966848501451076,0.35214063450951805,10000
0.2497,2.1792451488494873,0.35128373313599864,0.24969999999999995,0.14794660492560863,0.20281315319094545,10000
0.433,2.045858523178101,0.31823929824097835,0.433,0.33361612424755177,0.4239762342143882,10000
0.4247,2.0184176712036135,0.3925377403646093,0.42469999999999997,0.3116973117119694,0.3977909251627597,10000
0.3973,2.0660715534210206,0.303695891125345,0.3973,0.2950384128860714,0.3770045062202585,10000
0.4036,2.054457592010498,0.2909065268529005,0.40359999999999996,0.2992790369848638,0.3807270876248161,10000
0.3412,2.103696417236328,0.32146965543252326,0.3412,0.2387779800141317,0.31945634638695974,10000
0.3557,2.067811488723755,0.38287026185674866,0.3557,0.23030475440344783,0.32074520121612154,10000
0.357,2.107976142120361,0.3968834396243107,0.35700000000000004,0.2502845681389867,0.32695998350754185,10000
0.4376,2.0324714988708497,0.35756206202659846,0.43760000000000004,0.31101397244024287,0.4045180569806006,10000
0.3997,2.0551970693588255,0.35120328837928116,0.3997,0.29928176335467216,0.3714026070501115,10000
0.3525,2.0936331108093262,0.321352395895119,0.3524999999999999,0.24343482687582796,0.3349284771841313,10000
0.3912,2.06480883102417,0.3670393655346006,0.3912,0.30570846523721734,0.3740118286040295,10000
0.3597,2.085087103843689,0.30421517992712843,0.3597,0.24479735162609656,0.32614561216395954,10000
0.3019,2.1537669261932373,0.39850613424868364,0.30189999999999995,0.22955053536262407,0.269875152418426,10000
0.3614,2.086767602729797,0.4265612460319071,0.3614,0.2444645327948846,0.3279370779199826,10000
0.4104,2.0379789960861205,0.3482846454097267,0.4104,0.28815314614126736,0.3742512264899887,10000
0.4634,2.015301280212402,0.5017325463262972,0.46340000000000003,0.3774999563567696,0.4425392245625611,10000
0.4327,2.014330237197876,0.4459834763855876,0.4327,0.3030592667864972,0.399619614077398,10000
0.3603,2.063138873100281,0.4858833699028004,0.3603,0.23151724887015832,0.32492019294776403,10000
0.3507,2.078852890777588,0.5023178674588633,0.3507,0.2410239206669421,0.322363079131359,10000
0.3068,2.147846114730835,0.2286042438775934,0.3068,0.19963874053538225,0.28292195821241467,10000
0.3674,2.0783629306793214,0.2542447380757569,0.36739999999999995,0.26673519826217984,0.3321561156624772,10000
0.3573,2.108732813644409,0.28090370932428665,0.3573,0.2695556382856309,0.34174011289552725,10000
0.3247,2.1135544801712034,0.2783220344958934,0.3247,0.20939946731474685,0.28462460231456377,10000
0.4775,1.9961178100585937,0.39061446649549497,0.4774999999999999,0.37781847207769453,0.45240445970954246,10000
0.418,2.025884199142456,0.5694340508123249,0.41800000000000004,0.3324356831355135,0.40183903182743436,10000
0.4558,2.0066061862945554,0.4986088294397179,0.4558,0.3618221134644953,0.43149888339516324,10000
0.402,2.0462137428283693,0.4074814216479935,0.402,0.3087025244109435,0.3816379871228307,10000
0.5129,1.9523435258865356,0.5876499619220648,0.5128999999999999,0.4431076284261571,0.4905832068684874,10000
0.3594,2.069372844314575,0.5097289800880478,0.35940000000000005,0.2869480913411263,0.31362721336910077,10000
0.3294,2.113820400238037,0.32542947443482373,0.3294,0.23203398067204106,0.3119411809092497,10000
0.4418,2.012019020271301,0.37951621456787005,0.4418,0.3443289779812978,0.430032425772326,10000
